"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $4787.31/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x2bf12816b944dd449204c402fd4f3ff51643bfe6bceae8b3d30711968c18eaa9","13538671","1635871640","2021-11-02 16:47:20","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007381281027049027","35.3364804736021","4593.15","","","Set Buyer Tokens",""
"0xb99571bb3904b7110287f0f20f6ed5ae0fc7b2c8e7abfb28ace55ec12f40b0f1","13538671","1635871640","2021-11-02 16:47:20","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007381281027049027","35.3364804736021","4593.15","","","Set Buyer Tokens",""
"0xf55fa997c6d3dd580ea00be0e0d06abb5dd64f3296a4aa1faace6e3561f7477f","13538671","1635871640","2021-11-02 16:47:20","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007379598140412799","35.3284239735796","4593.15","","","Set Buyer Tokens",""
"0x10be0a20928d40f683c3db556c5f623bb23b29a36ece24f525663db4e78417c9","13538671","1635871640","2021-11-02 16:47:20","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007381281027049027","35.3364804736021","4593.15","","","Set Buyer Tokens",""
"0x11470864449737e7a0c47a09a59a26fd9880f67a64df9cd62aec0a31b84fd850","13538671","1635871640","2021-11-02 16:47:20","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007381281027049027","35.3364804736021","4593.15","","","Set Buyer Tokens",""
"0x7e579ceaf4f04286c774a1c3acafb7f6177543b37334adab5ffb378189777b98","13538671","1635871640","2021-11-02 16:47:20","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007381281027049027","35.3364804736021","4593.15","","","Set Buyer Tokens",""
"0x490f9bd83cbd6a8522cfb84f73dc6b37adf53484946352dc666cc556511de814","13538671","1635871640","2021-11-02 16:47:20","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007381281027049027","35.3364804736021","4593.15","","","Set Buyer Tokens",""
"0x57a2e489c8c15225b8d3790926df16b8d48e69118d1ff8aeed0e069d0fa367de","13538671","1635871640","2021-11-02 16:47:20","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007381281027049027","35.3364804736021","4593.15","","","Set Buyer Tokens",""
"0xc9ce45a32cd6fffe8a466f62b57363a0088b6da5fe90cbb062d63f7fa88afd9f","13538671","1635871640","2021-11-02 16:47:20","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007381281027049027","35.3364804736021","4593.15","","","Set Buyer Tokens",""
"0xfe8efc093d5562a05559de0342bdccc501cbe46e7cac72beaf04cc2d72969ec4","13538671","1635871640","2021-11-02 16:47:20","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007381281027049027","35.3364804736021","4593.15","","","Set Buyer Tokens",""
"0x4f4ccefaac8077b218ff770ae61c17979b401d2d4d423955914166cdcab999cf","13538671","1635871640","2021-11-02 16:47:20","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007381281027049027","35.3364804736021","4593.15","","","Set Buyer Tokens",""
"0x7a815eb14c98c693a7ab49e603e88c3caf31e3f79438c6f9da880aea540717a8","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789315","37.7869559265","4593.15","","","Set Buyer Tokens",""
"0x4ba9ce1c462c4422e6cc392d7a4da418e4095dcb8e79ceb41d61aa7014afd363","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0xdc726fd20aaa3e9611b36b360c1a0b9039c4dfea59e0ea65b2cf6edd95173b91","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0x14bd82e83cef5203457f178352859a55e1683f6ee4d7aef6b5919394a2b4b21d","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0x45d8d039e6acf60a48f80fe45cf92666849aaaacbbbe6591a3f185efed193202","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0xccfe894b3b3aa3b2e339df4acc6c72a38e336d0b549df84b0f7e960a31c05c6e","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0xb1814a18f9d04931920fa0904e218e6bb2cc71a64ae95f992c7e9d3076d3fc69","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789135","37.7783387685","4593.15","","","Set Buyer Tokens",""
"0x89c482ed83878bbcd867b0b15dfc02d06a68b6afe64114a4007e928f6d441ed4","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0x90192d3a7459b11f2b3c1044c78086a850879cb5264624225bc0496ee8f2380f","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0x3fa353321f94d76a8590061c0f69ab46be00f6df88c8bed1dc364a65a92e8670","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0xf27f6949b305b83756706af7a3c01763d02fadbce74a3d10cb89042271712620","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0x161cd14cec8965c38583c8eb256b199e1633f515431be150726ad6ef757a6d95","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0xf95ff762e75eefc43522ece252ed16109a2e1929ea24d2a2b4e6ec9b1f1662f8","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0x4f3e991cb0e7df86fb5c78eda23230c9e0897d3e521d8b6ba0d78dcecc33b35f","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0x590500fde9259dfae6ad20145605e45c3551f56abf9e3159292b08b9a32a0802","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0x13948220d4e45166d7bf913f4961ba834a6ba27c1091fc37138990aa2814cc3c","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0x2b61f5e71272089a8f40131e346b829ff9793c92165a43729467599e77b58e2f","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0xfe066aa6833055111d53d94d7e562605f5582da891b03da78b6a89eb8f44db8a","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0xfa8f9c8acdac8056e5f00f957891affb569074c147d705d49b4d3d598d147b86","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0x0a36e683abdab4c938acb1b00a381d7494405510d95bbcb2288766fd5dea5cfc","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0x7dbc46bdc1d4ae89db77d22b1dedfe48c4955eb465cc49dc460117afd9e120bf","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0x8faed810d5f9f3e067d20ce549bbda270bbd390429797d21e1a729e011a51906","13538680","1635871743","2021-11-02 16:49:03","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00789495","37.7955730845","4593.15","","","Set Buyer Tokens",""
"0x9a437c4b38bde0fc6cd71b73569b2d11410030c9c2dbe81ad38c6c337c650261","13538685","1635871789","2021-11-02 16:49:49","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007839421249343159","37.529739741193","4593.15","","","Set Buyer Tokens",""
"0x11cf9fff002b82496d23f4f39164a798efb51f2ff7fba29074dbd6b4e2de63f0","13538685","1635871789","2021-11-02 16:49:49","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007839421249343159","37.529739741193","4593.15","","","Set Buyer Tokens",""
"0x87d0654531c79cdaef3540acfc17505136c9d8074607d5e4873fdfa7d929380c","13538685","1635871789","2021-11-02 16:49:49","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007839421249343159","37.529739741193","4593.15","","","Set Buyer Tokens",""
"0x1fc555bb2023d344bc7774d0dfd75034811720cd6101336c83837ee936e19c6f","13538686","1635871795","2021-11-02 16:49:55","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007439461270294235","35.6150073338923","4593.15","","","Set Buyer Tokens",""
"0x2169d6677b7dfed236d3ab5baee52ab6dc8c4ba4352713ee04902723b367cc8f","13538686","1635871795","2021-11-02 16:49:55","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007439461270294235","35.6150073338923","4593.15","","","Set Buyer Tokens",""
"0x43a4bd9c6186ceec7f55e49aa0236bb6bd6600e9b45fab7d249cfeff502b01c8","13538704","1635871997","2021-11-02 16:53:17","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007739129405325955","37.049611593411","4593.15","","","Set Buyer Tokens",""
"0xe949304fa5d52126be04af4fc4401ee75f2eda1e226c678c67ee22e70eaba1da","13538704","1635871997","2021-11-02 16:53:17","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007739129405325955","37.049611593411","4593.15","","","Set Buyer Tokens",""
"0x563a18282fc1c5fe6fc04973f32b279a6d6943127ce955fe16b2876cb8f5a7fc","13538704","1635871997","2021-11-02 16:53:17","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007737364931462335","37.041164510039","4593.15","","","Set Buyer Tokens",""
"0xfd887f09e31fad18f6dadf8f9af4df25cbfa6c9424fb29b17dc17b1acd66f1f2","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007779915154774616","37.2448656196041","4593.15","","","Set Buyer Tokens",""
"0x6c13d034fe08acaabb00e14a13ce4075215ef56e6e625b1b38611cf16899ee58","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007779915154774616","37.2448656196041","4593.15","","","Set Buyer Tokens",""
"0xc2724fea763f007e6954abd1d34699e017e8ae5710135b8704fda56c20bb37e8","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007779915154774616","37.2448656196041","4593.15","","","Set Buyer Tokens",""
"0x944a766e4ebd12d097dc64d2c12e157a5fa1c3d2f0283989f12d7231b37d88c8","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007779915154774616","37.2448656196041","4593.15","","","Set Buyer Tokens",""
"0xfa704bc6bbe5692d9805d5cce82c32b23162526ffc9f669a5568ad7b277585e0","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007779915154774616","37.2448656196041","4593.15","","","Set Buyer Tokens",""
"0x2f96cabb5186496670e7ab1571cf7a1e903773ad92802e01a46c27c23e2e5ec6","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007778141382011192","37.236374019516","4593.15","","","Set Buyer Tokens",""
"0xc988df0c34373f741028ec04c0f9667a26fccdf222f3e06a7be5689e01a82588","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007779915154774616","37.2448656196041","4593.15","","","Set Buyer Tokens",""
"0x266ba7d4b81dd007bb343e0222ea5a319684a7490ad1384d9b16de8aff072c25","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007778141382011192","37.236374019516","4593.15","","","Set Buyer Tokens",""
"0xf7aad3a6ffb003c9329f40baa9b1f1b8663489fe87dbd2fd3a06bf51e71f2eb4","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007779915154774616","37.2448656196041","4593.15","","","Set Buyer Tokens",""
"0x4ad379ad4e3562b1f660f74593eea5267a14722191d57337100b4b9ffba2af36","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.005252288966895416","25.1443354941081","4593.15","","","Set Buyer Tokens",""
"0x134b469b276137463401ec6985414b29dfe2c34e3511d5660245ac50327da9d6","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007779915154774616","37.2448656196041","4593.15","","","Set Buyer Tokens",""
"0x79dbc940f7bf5cc328752124d37b072f546f74b575915a9d6a0c05b37042ed26","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007779915154774616","37.2448656196041","4593.15","","","Set Buyer Tokens",""
"0x29c5f0c5b256948697db5c242a422686b3a67dac694eeebb80f586c8d526d38f","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007779915154774616","37.2448656196041","4593.15","","","Set Buyer Tokens",""
"0xa3761ff4f7b4e374a11ad6d503483d1c12e88efc4988e5d3880836f73aa1372c","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007779915154774616","37.2448656196041","4593.15","","","Set Buyer Tokens",""
"0x9c2c56f98660085f2e77ece5794618f16b6668c25ae0bfeb6070f781836c9463","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007779915154774616","37.2448656196041","4593.15","","","Set Buyer Tokens",""
"0xbeef95ae6aa008866cd2f1c9f904fc786afcb60456a5534219419f691c58e2f3","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007779915154774616","37.2448656196041","4593.15","","","Set Buyer Tokens",""
"0xd5602b7d23b244d6b911879ce0d32186b8814504e2c8676bf0fad37dbf2ebc37","13538709","1635872100","2021-11-02 16:55:00","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007778141382011192","37.236374019516","4593.15","","","Set Buyer Tokens",""
"0x9aedf2e06832b962d97ac4902cf65d2973382ac5bdc2a13fb68d3b12933fa195","13538756","1635872783","2021-11-02 17:06:23","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.007859326059705897","37.6250302388906","4593.15","","","Set Buyer Tokens",""
"0xe8db3c3b12f74d9333ee8af386ea401d1c774c407e4e566b5074a7748916659e","13538900","1635874767","2021-11-02 17:39:27","0x894b23e979fcc8f604c41b850ab2021d4e1a623b","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.004980348494249793","23.842472150007","4593.15","","","Transfer",""
"0xf5dcfadb2f6150d90049433c5f2dd49891e87a92758b468892de6ab3c797e6cf","13539774","1635886770","2021-11-02 20:59:30","0x894b23e979fcc8f604c41b850ab2021d4e1a623b","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.008516286564574941","40.7701038334553","4593.15","","","Transfer",""
"0x059bd9c33718e52b40b2f552493bb7d184b389be6a7e1cab43bff88570ffe8fd","13541494","1635909617","2021-11-03 03:20:17","0x93adfc98752ff04aaf39f460a9b1711560298855","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.006805380022847308","32.5794638371772","4604.40","","","Approve",""
"0x3a94b7d701a2e92644f6b383149f87277b29e018709d2630350c06de322fdd92","13542913","1635929295","2021-11-03 08:48:15","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.005905690717554768","28.2723722290571","4604.40","","","Set Buyer Tokens",""
"0x4af9785a0ab11fc8137505deb3f01fceeee45e9bf12e4b155809db7c9ebc1fae","13542916","1635929337","2021-11-03 08:48:57","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.00556120233735647","26.62319956165","4604.40","","","Set Buyer Tokens",""
"0x7f3ea274ecab9ce20d9d1cc06ffcfb7e75c7b2eb296d7d44b2490d4359c6cf2b","13542918","1635929359","2021-11-03 08:49:19","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.004229398830657858","20.2474433159967","4604.40","","","Set Buyer Tokens",""
"0x6ce0ac9c98d1bbcee6612c553546351fdd869b52e2aed1c0e7a5104865744255","13542920","1635929409","2021-11-03 08:50:09","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.006369166981918146","30.4911767842066","4604.40","","","Set Buyer Tokens",""
"0xec2af69088731bfb0943b78c6003711e82f46ad1547d1cd411a7e2e0a1587acd","13542955","1635929909","2021-11-03 08:58:29","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.006112619161103476","29.2630028361423","4604.40","","","Set Buyer Tokens",""
"0x8398cd7e7b0ca6fc9af0cb8f7879d38fe18c81754bfaa916f4a1b988f1878329","13543114","1635931961","2021-11-03 09:32:41","0x6b2d066926824225d8fd1810cd1ce0aa61657de0","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.0059065743995188","28.2766026885603","4604.40","","","Set Buyer Tokens",""
"0xd14c21ec7f8bdc31174883032cb4959a5da072d3c63e3f604da97ef12bf0bd97","13543167","1635932690","2021-11-03 09:44:50","0xfb8e156f2ef3def6634072b950f2a2f816014a58","0xf1d1a5306daae314af6c5d027a492b313e07e1a0","","0","0","0","0.005757341239783905","27.5621772906299","4604.40","","","Approve",""
